time us,current kA
0.35,44.9445
0.351,47.31
0.352,49.60425
0.353,49.40475
0.354,53.1525
0.355,50.37375
0.356,48.0795
0.357,46.341
0.358,43.6905
0.359,40.76925
0.36,35.625
0.361,37.43475
0.362,33.5445
0.363,37.43475
0.364,36.1095
0.365,43.0635
0.366,40.2135
0.367,44.38875
0.368,46.26975
0.369,47.937
0.37,48.92025
0.371,48.00825
0.372,48.3645
0.373,48.00825
0.374,46.683
0.375,45.2295
0.376,46.341
0.377,46.12725
0.378,46.12725
0.379,48.7065
0.38,47.03925
0.381,47.86575
0.382,50.9295
0.383,46.75425
0.384,48.7065
0.385,45.372
0.386,43.6905
0.387,41.7525
0.388,41.952
0.389,37.9905
0.39,36.52275
0.391,38.6175
0.392,38.475
0.393,41.88075
0.394,43.90425
0.395,48.77775
0.396,49.26225
0.397,52.041
0.398,54.62025
0.399,56.2875
0.4,53.85075
0.401,54.33525
0.402,51.28575
0.403,52.4685
0.404,49.476
0.405,51.14325
0.406,50.85825
0.407,50.85825
0.408,50.85825
0.409,50.85825
0.41,50.85825
0.411,50.85825
0.412,50.51625
0.413,49.88925
0.414,46.8255
0.415,45.372
0.416,44.24625
0.417,47.595
0.418,42.65025
0.419,44.38875
0.42,44.38875
0.421,47.595
0.422,44.87325
0.423,47.4525
0.424,50.85825
0.425,52.8105
0.426,54.834
0.427,54.0645
0.428,57.399
0.429,58.026
0.43,55.803
0.431,53.58
0.432,55.176
0.433,54.33525
0.434,51.28575
0.435,49.88925
0.436,48.849
0.437,50.103
0.438,50.3025
0.439,50.5875
0.44,53.295
0.441,51.62775
0.442,52.11225
0.443,52.59675
0.444,55.518
0.445,56.088
0.446,53.85075
0.447,54.13575
0.448,51.5565
0.449,52.88175
0.45,49.88925
0.451,52.4685
0.452,51.91275
0.453,52.1835
0.454,53.02425
0.455,54.834
0.456,57.61275
0.457,56.5725
0.458,59.907
0.459,60.46275
0.46,58.026
0.461,55.6605
0.462,54.4065
0.463,55.176
0.464,51.5565
0.465,52.4685
0.466,49.476
0.467,51.14325
0.468,51.072
0.469,52.4685
0.47,55.38975
0.471,57.32775
0.472,59.28
0.473,58.5105
0.474,59.35125
0.475,59.63625
0.476,59.35125
0.477,56.2875
0.478,54.834
0.479,55.38975
0.48,51.77025
0.481,53.1525
0.482,55.518
0.483,53.85075
0.484,56.9145
0.485,55.87425
0.486,59.20875
0.487,58.09725
0.488,59.20875
0.489,64.42425
0.49,60.3915
0.491,58.026
0.492,59.907
0.493,59.63625
0.494,59.35125
0.495,58.86675
0.496,58.653
0.497,58.653
0.498,58.938
0.499,59.4225
0.5,59.907
0.501,63.5265
0.502,60.3915
0.503,61.788
0.504,62.05875
0.505,64.011
0.506,60.3915
0.507,58.09725
0.508,59.20875
0.509,55.87425
0.51,54.76275
0.511,54.549
0.512,55.518
0.513,55.3185
0.514,57.5415
0.515,55.6605
0.516,58.72425
0.517,57.8835
0.518,62.20125
0.519,66.3765
0.52,65.4075
0.521,67.35975
0.522,65.1225
0.523,65.7495
0.524,65.47875
0.525,64.99425
0.526,62.48625
0.527,64.42425
0.528,61.85925
0.529,63.8115
0.53,64.08225
0.531,66.6615
0.532,64.70925
0.533,64.70925
0.534,62.48625
0.535,66.6615
0.536,60.94725
0.537,61.57425
0.538,62.13
0.539,58.72425
0.54,59.83575
0.541,58.72425
0.542,55.73175
0.543,59.907
0.544,57.95475
0.545,60.94725
0.546,62.415
0.547,64.70925
0.548,67.488
0.549,72.0195
0.55,67.6305
0.551,72.57525
0.552,69.8535
0.553,70.06725
0.554,64.7805
0.555,66.177
0.556,66.30525
0.557,65.47875
0.558,64.99425
0.559,64.70925
0.56,64.99425
0.561,65.47875
0.562,68.5425
0.563,69.58275
0.564,67.773
0.565,70.7655
0.566,65.55
0.567,66.59025
0.568,60.3915
0.569,61.57425
0.57,62.13
0.571,61.503
0.572,62.48625
0.573,62.48625
0.574,64.011
0.575,70.7655
0.576,67.773
0.577,72.57525
0.578,71.25
0.579,72.3615
0.58,73.2735
0.581,75.56775
0.582,72.219
0.583,69.29775
0.584,67.84425
0.585,68.5425
0.586,67.55925
0.587,67.21725
0.588,67.55925
0.589,68.115
0.59,70.908
0.591,69.027
0.592,67.07475
0.593,72.57525
0.594,69.8535
0.595,70.35225
0.596,67.488
0.597,68.5425
0.598,67.55925
0.599,64.7805
0.6,66.73275
0.601,68.95575
0.602,64.85175
0.603,70.623
0.604,67.773
0.605,70.35225
0.606,73.131
0.607,74.2425
